authority,station_name,longitude,latitude,time,flood_depth_cm
桃園巿政府水務局(智慧防汛),士校大池-2,121.257225,24.941786,2025-11-10T13:05:00Z,0.0
宜蘭縣政府水利資源處,五結鄉季水路三巷,121.82856,24.683428,2025-11-10T13:45:00Z,0.0
水利署水文技術組,立山,121.31109,23.427391,2025-11-10T13:10:00Z,169.05
水利署水文技術組,大池(1),121.51284,23.614012,2025-11-10T13:10:00Z,-6.611
水利署水文技術組,安坑橋,121.52881,24.971464,2025-11-10T13:10:00Z,4.05
水利署水文技術組,口社富邦大橋,120.64508,22.767221,2025-11-10T13:10:00Z,95.2
第二河川分署,新竹市感潮段海埔地海堤 1K+732,120.9165,24.8108,2025-11-10T13:10:00Z,25.525177881217
第二河川分署,新竹市感潮段海埔地海堤 1K+732,120.9165,24.8108,2025-11-10T13:10:00Z,24.343408076221
第二河川分署,新竹市感潮段海埔地海堤 1K+732,120.9165,24.8108,2025-11-10T13:10:00Z,1.1286290322581
第二河川分署,新竹市感潮段海埔地海堤 1K+732,120.9165,24.8108,2025-11-10T13:10:00Z,1.1907258064516
臺南市政府水利局,永康區-中山北路94號永康教會前(編號320),120.2594,23.026909,2025-11-10T14:00:00Z,0.0
高雄市政府水利局,公園路、隆豐路口,120.30614,22.755705,2025-11-10T14:00:00Z,0.0
彰化縣政府水資處,東港村2,120.29278,23.869778,2025-11-10T13:10:00Z,0.0
桃園巿政府水務局(智慧防汛),茄苳路91巷2號,121.28117,24.983534,2025-11-10T13:05:00Z,0.0
雲林縣政府水利處,堀頭里_大閘蟹生態養殖場,120.45349,23.713848,2025-11-10T13:00:42Z,-57.0
雲林縣政府水利處,堀頭里_大閘蟹生態養殖場,120.45349,23.713848,2025-11-10T13:00:42Z,0.0
雲林縣政府水利處,堀頭里_大閘蟹生態養殖場,120.45349,23.713848,2025-11-10T13:00:42Z,13.557373046875
水利署水文技術組,宅港(2),120.20438,23.257063,2025-11-10T13:10:00Z,-9.792
臺南市政府水利局,新豐1號橋,120.329414,23.023056,2025-11-10T13:10:00Z,14.971
水利署水文技術組,農路橋,120.63788,24.206299,2025-11-10T13:10:00Z,111.13
基隆市政府水利科,中正區港通里義一路信三路口,121.74561,25.13266,2025-11-10T13:46:00Z,0.0
農田水利署桃園管理處,湖口2-2,121.08606,24.951696,2025-11-10T13:10:00Z,2.7909998893738
第二河川分署,白地堤防,120.96287,24.852322,2025-11-10T13:01:30Z,0.0
第二河川分署,白地堤防,120.96287,24.852322,2025-11-10T13:01:35Z,0.0
第二河川分署,白地堤防,120.96287,24.852322,2025-11-10T13:09:00Z,0.0
新北市政府水利局(智慧防汛),淡水區民權路3(廣達家俱),121.45989,25.142471,2025-11-10T13:33:00Z,0.0
水利署水文技術組,新化(2),120.31216,23.036789,2025-11-10T13:10:00Z,8.373
嘉義縣政府水利處,CYC066 六腳鄉港美村新店,120.29652,23.53287,2025-11-10T13:54:54Z,0.0
嘉義縣政府水利處,CYC134 民雄鄉東榮村東榮國小,120.43753,23.557226,2025-11-10T13:30:13Z,0.0
台中市政府水利局,西屯區玉門路與福順路,120.60993,24.186066,2025-11-10T13:13:00Z,0.0
嘉義縣政府水利處,嘉義縣-129,120.2818,23.4551,2025-11-10T13:02:31Z,0.0
嘉義縣政府水利處,嘉義縣-129,120.2818,23.4551,2025-11-10T13:02:31Z,0.0
水利署水文技術組,利澤(1),121.829636,24.666,2025-11-10T13:10:00Z,2.409
水利署水文技術組,東榮(3),120.435524,23.557518,2025-11-10T13:10:00Z,-6.309
新北市政府水利局(智慧防汛),三峽區大義路189號,121.37802,24.945719,2025-11-10T13:05:00Z,0.0
臺南市政府水利局,後壁區-天主教聖家堂對面頂寮95-1號對面(編號184),120.35267,23.33232,2025-11-10T14:00:00Z,0.0
水利署水文技術組,萬巒(2),120.59474,22.571817,2025-11-10T13:10:00Z,23.374
第三河川分署,土牛堤防,120.91273,24.270653,2025-11-10T13:09:57Z,-0.0077525377
第三河川分署,土牛堤防,120.91273,24.270653,2025-11-10T13:09:57Z,-0.00066804886
第三河川分署,土牛堤防,120.91273,24.270653,2025-11-10T13:09:57Z,0.0073242188
